source,target,bidirectional,visits,length_m,segment_ids
1,2,True,2,0.10592805028597252,[2]
1,128,True,1,0.07628881215961104,[2]
2,3,True,2,0.11923097930426155,[2]
3,4,True,1,0.06719167581404446,[2]
4,5,True,1,0.1020379429931115,[2]
5,6,True,1,0.09442425239406507,[2]
6,7,True,1,0.09590576404839883,[2]
7,8,True,1,0.0942298421071297,[2]
8,9,True,1,0.0942462533437905,[2]
9,10,True,1,0.10016866141903301,[2]
10,11,True,1,0.1015108450076936,[2]
11,12,True,1,0.10235167028664063,[2]
12,13,True,1,0.10235148202178378,[2]
13,14,True,1,0.07676335489357379,[2]
14,15,True,1,0.10235160688013688,[2]
15,16,True,1,0.07676353697585145,[2]
16,17,True,1,0.10235116243803498,[2]
17,18,True,1,0.07676383492641038,[2]
18,19,True,1,0.10235150992783473,[2]
19,20,True,1,0.0767632244586175,[2]
20,21,True,1,0.10235144342010155,[2]
21,22,True,1,0.07676361771968687,[2]
22,23,True,1,0.1023511477637315,[2]
23,24,True,1,0.07676371825315015,[2]
24,25,True,1,0.10235153486249916,[2]
25,26,True,1,0.07676317444552977,[2]
26,27,True,1,0.10235124816178982,[2]
27,28,True,1,0.07676369980998309,[2]
28,29,True,1,0.10235116922829648,[2]
29,30,True,1,0.07676354343378756,[2]
30,31,True,1,0.10235154522833675,[2]
31,32,True,1,0.0767632039074036,[2]
32,33,True,1,0.09635670148889551,[2]
33,34,True,1,0.05308391521886469,[2]
34,35,True,1,0.11229942778339155,[2]
35,36,True,1,0.09597757167335234,[2]
36,37,True,1,0.0719527012168539,[2]
37,38,True,1,0.09595815662860244,[2]
38,39,True,1,0.09592928527063341,[2]
39,40,True,1,0.09592063111749416,[2]
40,41,True,1,0.09594624828828116,[2]
41,42,True,1,0.09593302217071505,[2]
42,43,True,1,0.09592809578935604,[2]
43,44,True,1,0.09592886951877018,[2]
44,45,True,1,0.07196746159791315,[2]
45,46,True,1,0.09595161581765613,[2]
46,47,True,1,0.09594286988396863,[2]
47,48,True,1,0.0959100260227979,[2]
48,49,True,1,0.09593028912847958,[2]
49,50,True,1,0.09595504478952666,[2]
50,51,True,1,0.09593018862454089,[2]
51,52,True,1,0.0959220755361195,[2]
52,53,True,1,0.09595414896172443,[2]
53,54,True,1,0.09594064773786908,[2]
54,55,True,1,0.09593806653772483,[2]
55,56,True,1,0.07193964148050744,[2]
56,57,True,1,0.09595074722797561,[2]
57,58,True,1,0.0959538053812749,[2]
58,59,True,1,0.09590173392896052,[2]
59,60,True,1,0.09592723616494336,[2]
60,61,True,1,0.09593602848709866,[2]
61,62,True,1,0.09594208271495923,[2]
62,63,True,1,0.09591267414110319,[2]
63,64,True,1,0.0936224091697799,[2]
64,65,True,1,0.09094885522202373,[2]
65,66,True,1,0.07324480831833703,[2]
66,67,True,1,0.09259793999598995,[2]
67,68,True,1,0.0966576343404816,[2]
68,69,True,1,0.07558304334038428,[2]
69,70,True,1,0.10075736172051135,[2]
70,71,True,1,0.07558046392629668,[2]
71,72,True,1,0.10077966601279749,[2]
72,73,True,1,0.10076630298367432,[2]
73,74,True,1,0.10075412278515461,[2]
74,75,True,1,0.10075803815821538,[2]
75,76,True,1,0.1007710726655596,[2]
76,77,True,1,0.07557307050720768,[2]
77,78,True,1,0.1007460307914734,[2]
78,79,True,1,0.07558851763577537,[2]
79,80,True,1,0.10077215221370273,[2]
80,81,True,1,0.07556095877185282,[2]
81,82,True,1,0.10076845009369524,[2]
82,83,True,1,0.10077794502799835,[2]
83,84,True,1,0.10076936259561343,[2]
84,85,True,1,0.10075642252977203,[2]
85,86,True,1,0.10075463916971873,[2]
86,87,True,1,0.07558830908040806,[2]
87,88,True,1,0.10075514665983487,[2]
88,89,True,1,0.07556776577894603,[2]
89,90,True,1,0.10077637330663912,[2]
90,91,True,1,0.07556352659723732,[2]
91,92,True,1,0.10075455466945155,[2]
92,93,True,1,0.10076884439843788,[2]
93,94,True,1,0.10078066268745746,[2]
94,95,True,1,0.10076793207040259,[2]
95,96,True,2,0.10297115438557405,[2]
95,97,True,1,0.1230926101968582,[2]
96,97,True,2,0.09814260295627963,[2]
97,98,True,1,0.0929777891418355,[2]
98,99,True,1,0.07352468660306784,[2]
99,100,True,1,0.10076321576758579,[2]
100,101,True,1,0.07558749133307023,[2]
101,102,True,1,0.1007721125884306,[2]
102,103,True,1,0.07557397863869,[2]
103,104,True,1,0.10077236463851802,[2]
104,105,True,1,0.10079234882141945,[2]
105,106,True,1,0.10075900023022438,[2]
106,107,True,1,0.1007573143009568,[2]
107,108,True,1,0.10077158627587417,[2]
108,109,True,1,0.07558560740163572,[2]
109,110,True,1,0.1007847758200743,[2]
110,111,True,1,0.07558315105626359,[2]
111,112,True,1,0.1007817151811944,[2]
112,113,True,1,0.07556127463047466,[2]
113,114,True,1,0.10076988509880425,[2]
114,115,True,1,0.10077562108713259,[2]
115,116,True,1,0.1007796978885364,[2]
116,117,True,1,0.10076155082732241,[2]
117,118,True,1,0.10076138008337268,[2]
118,119,True,1,0.0755878797391981,[2]
119,120,True,1,0.10077602083989516,[2]
120,121,True,1,0.07557258640591198,[2]
121,122,True,1,0.10077909211256254,[2]
122,123,True,1,0.07557822510197038,[2]
123,124,True,1,0.10075834905372841,[2]
124,125,True,1,0.10077269510740816,[2]
125,126,True,1,0.10077898166905361,[2]
126,127,True,1,0.10078401995511731,[2]
127,128,True,1,0.10078704000955359,[2]
